snapshot_date,policy_start_year,business_type_category,chengdu_branch,third_level_organization,customer_category_3,insurance_type,is_new_energy_vehicle,coverage_type,is_transferred_vehicle,renewal_status,vehicle_insurance_grade,highway_risk_grade,large_truck_score,small_truck_score,terminal_source,signed_premium_yuan,matured_premium_yuan,policy_count,claim_case_count,reported_claim_payment_yuan,expense_amount_yuan,commercial_premium_before_discount_yuan,premium_plan_yuan,marginal_contribution_amount_yuan,week_number
2025/9/14,2025,10吨以上-普货,中支,乐山,营业货车,交强险,FALSE,主全,FALSE,续保,,,B,,0106移动展业(App),6762.26,3784.2314,2,0,0,67.62,0,6762.26,3746.3905,38
2025/9/14,2025,10吨以上-普货,中支,乐山,营业货车,交强险,FALSE,交三,FALSE,续保,,,A,,0106移动展业(App),5916.98,1069.9197,2,1,2141.51,147.92,0,5916.98,-1098.3375,38
2025/9/14,2025,10吨以上-普货,中支,乐山,营业货车,交强险,FALSE,交三,FALSE,续保,,,C,,0106移动展业(App),2958.49,1122.6051,1,0,0,147.92,0,2958.49,1066.4765,38
2025/9/14,2025,10吨以上-普货,中支,乐山,营业货车,交强险,FALSE,交三,FALSE,续保,,,D,,0106移动展业(App),9215.89,2058.7758,4,0,0,279.85,0,9215.89,1996.259,38
2025/9/14,2025,10吨以上-普货,中支,乐山,营业货车,交强险,FALSE,交三,FALSE,续保,,,E,,0106移动展业(App),3381.13,1602.563,1,0,0,0,0,3381.13,1602.563,38
2025/9/14,2025,10吨以上-普货,中支,乐山,营业货车,交强险,FALSE,交三,FALSE,转保,,,B,,0106移动展业(App),2958.49,1467.0868,1,0,0,887.54,0,2958.49,1026.9642,38
2025/9/14,2025,10吨以上-普货,中支,乐山,营业货车,交强险,FALSE,交三,FALSE,转保,,,C,,0106移动展业(App),3381.13,1565.5095,1,0,0,169.06,0,3381.13,1487.2324,38
2025/9/14,2025,10吨以上-普货,中支,乐山,营业货车,交强险,FALSE,单交,FALSE,续保,,,A,,0106移动展业(App),616.02,616.02,1,0,0,0,0,616.02,616.02,38
2025/9/14,2025,10吨以上-普货,中支,乐山,营业货车,交强险,FALSE,单交,FALSE,续保,,,B,,0106移动展业(App),745.7,745.7,1,0,0,37.29,0,745.7,708.41,38
2025/9/14,2025,10吨以上-普货,中支,乐山,营业货车,交强险,FALSE,单交,FALSE,续保,,,E,,0106移动展业(App),4226.42,2246.3712,1,0,0,211.32,0,4226.42,2134.0532,38
2025/9/14,2025,10吨以上-普货,中支,乐山,营业货车,交强险,FALSE,单交,FALSE,转保,,,A,,0106移动展业(App),10143.4,2500.3323,3,0,0,887.54,0,10143.4,2281.5551,38
2025/9/14,2025,10吨以上-普货,中支,乐山,营业货车,商业保险,FALSE,主全,FALSE,续保,,,B,,0106移动展业(App),20795.76,11635.8527,2,0,0,4367.11,15404.2573,20795.76,9192.3234,38
2025/9/14,2025,10吨以上-普货,中支,乐山,营业货车,商业保险,FALSE,交三,FALSE,续保,,,A,,0106移动展业(App),6001.14,2022.302,1,1,2928.63,2160.41,4445.2889,6001.14,-1634.3566,38
2025/9/14,2025,10吨以上-普货,中支,乐山,营业货车,商业保险,FALSE,交三,FALSE,续保,,,B,,0106移动展业(App),8401.58,3659.8664,1,0,0,3360.63,6223.3926,8401.58,2195.9207,38
2025/9/14,2025,10吨以上-普货,中支,乐山,营业货车,商业保险,FALSE,交三,FALSE,续保,,,C,,0106移动展业(App),6147,2324.0712,1,0,0,1290.87,4553.3349,6147,1836.0163,38
2025/9/14,2025,10吨以上-普货,中支,乐山,营业货车,商业保险,FALSE,交三,FALSE,续保,,,D,,0106移动展业(App),19748.48,4091.4676,4,0,0,6798.85,14628.5037,19748.48,2682.8896,38
2025/9/14,2025,10吨以上-普货,中支,乐山,营业货车,商业保险,FALSE,交三,FALSE,续保,,,E,,0106移动展业(App),9287.4,4300.1934,1,0,0,3343.46,6879.55,9287.4,2752.1256,38
2025/9/14,2025,10吨以上-普货,中支,乐山,营业货车,商业保险,FALSE,交三,FALSE,转保,,,A,,0106移动展业(App),4829.08,886.4339,1,0,0,1497.01,5853.4187,4829.08,611.6402,38
2025/9/14,2025,10吨以上-普货,中支,乐山,营业货车,商业保险,FALSE,交三,FALSE,转保,,,B,,0106移动展业(App),6633.85,3271.4877,1,0,0,2653.54,4913.963,6633.85,1962.8926,38
2025/9/14,2025,10吨以上-普货,中支,乐山,营业货车,商业保险,FALSE,交三,FALSE,转保,,,C,,0106移动展业(App),2025.6,2025.6,1,0,0,729.22,1500.4444,2025.6,1296.38,38
2025/9/14,2025,10吨以上-普货,中支,德阳,营业货车,交强险,FALSE,主全,FALSE,转保,,,B,,0106移动展业(App),2958.49,1900.7284,1,0,0,144.97,0,2958.49,1807.5902,38
2025/9/14,2025,10吨以上-普货,中支,德阳,营业货车,交强险,FALSE,交三,FALSE,续保,,,B,,0106移动展业(App),2958.49,1386.0323,1,0,0,147.92,0,2958.49,1316.7328,38
2025/9/14,2025,10吨以上-普货,中支,德阳,营业货车,交强险,FALSE,交三,FALSE,续保,,,C,,0106移动展业(App),4226.42,1334.5065,1,0,0,211.32,0,4226.42,1267.7815,38
2025/9/14,2025,10吨以上-普货,中支,德阳,营业货车,交强险,FALSE,单交,FALSE,转保,,,,,0106移动展业(App),4226.42,1105.3342,1,0,0,0,0,4226.42,1105.3342,38
2025/9/14,2025,10吨以上-普货,中支,德阳,营业货车,交强险,FALSE,单交,TRUE,转保,,,C,,0106移动展业(App),4226.42,2304.2673,1,1,0,0,0,4226.42,2304.2673,38
2025/9/14,2025,10吨以上-普货,中支,德阳,营业货车,商业保险,FALSE,主全,FALSE,转保,,,B,,0106移动展业(App),9207.35,5902.7942,1,0,0,2660.93,9207.3453,9207.35,4196.883,38
2025/9/14,2025,10吨以上-普货,中支,德阳,营业货车,商业保险,FALSE,交三,FALSE,续保,,,B,,0106移动展业(App),4822.2,2127.0526,1,0,0,1494.88,5157.436,4822.2,1467.6672,38
2025/9/14,2025,10吨以上-普货,中支,德阳,营业货车,商业保险,FALSE,交三,FALSE,续保,,,C,,0106移动展业(App),4200.01,1323.2908,1,0,0,1302,3818.1883,4200.01,913.0716,38
2025/9/14,2025,10吨以上-普货,中支,德阳,营业货车,商业保险,FALSE,交三,FALSE,转保,,,A,,0106移动展业(App),5040.01,2402.6349,1,0,0,1562.4,6109.0989,5040.01,1657.8196,38
2025/9/14,2025,10吨以上-普货,中支,德阳,营业货车,商业保险,FALSE,交三,FALSE,转保,,,C,,0106移动展业(App),9335.1,792.8441,1,0,0,2427.13,8890.5714,9335.1,586.7043,38
2025/9/14,2025,10吨以上-普货,中支,资阳,营业货车,交强险,FALSE,交三,FALSE,续保,,,A,,0106移动展业(App),3803.77,1469.4016,1,0,0,190.19,0,3803.77,1395.9309,38
2025/9/14,2025,10吨以上-普货,中支,资阳,营业货车,交强险,FALSE,交三,FALSE,续保,,,C,,0106移动展业(App),8452.83,1188.1716,2,0,0,190.19,0,8452.83,1161.4376,38
2025/9/14,2025,10吨以上-普货,中支,资阳,营业货车,交强险,FALSE,交三,FALSE,转保,,,A,,0106移动展业(App),4226.42,1748.4642,1,0,0,211.32,0,4226.42,1661.0414,38
2025/9/14,2025,10吨以上-普货,中支,资阳,营业货车,交强险,FALSE,交三,FALSE,转保,,,B,,0106移动展业(App),3381.13,607.1367,1,0,0,169.06,0,3381.13,576.7792,38
2025/9/14,2025,10吨以上-普货,中支,资阳,营业货车,交强险,FALSE,交三,FALSE,转保,,,C,,0106移动展业(App),3803.77,1131.1439,1,0,0,0,0,3803.77,1131.1439,38
2025/9/14,2025,10吨以上-普货,中支,资阳,营业货车,交强险,FALSE,单交,FALSE,转保,,,,,0106移动展业(App),4226.42,717.9124,1,0,0,0,0,4226.42,717.9124,38
2025/9/14,2025,10吨以上-普货,中支,资阳,营业货车,商业保险,FALSE,交三,FALSE,续保,,,A,,0106移动展业(App),4391.97,1696.624,1,0,0,1361.52,5323.5886,4391.97,1170.667,38
2025/9/14,2025,10吨以上-普货,中支,资阳,营业货车,商业保险,FALSE,交三,FALSE,续保,,,C,,0106移动展业(App),24117.65,4027.4518,3,0,0,6809.39,22969.1968,24117.65,2890.3389,38
2025/9/14,2025,10吨以上-普货,中支,资阳,营业货车,商业保险,FALSE,交三,FALSE,转保,,,A,,0106移动展业(App),8780.12,3632.3236,1,0,0,2721.84,8362.0253,8780.12,2506.3021,38
2025/9/14,2025,10吨以上-普货,中支,资阳,营业货车,商业保险,FALSE,交三,FALSE,转保,,,B,,0106移动展业(App),5472.94,974.6332,1,0,0,1696.61,5853.4096,5472.94,672.4971,38
2025/9/14,2025,10吨以上-普货,成都,天府,营业货车,交强险,FALSE,主全,FALSE,新保,,,,,0106移动展业(App),8452.84,2209.2211,2,1,2089.54,422.64,0,8452.84,9.2205,38
2025/9/14,2025,10吨以上-普货,成都,天府,营业货车,交强险,FALSE,主全,FALSE,续保,,,A,,0106移动展业(App),16483.02,7242.6559,5,0,0,824.14,0,16483.02,6880.5279,38
2025/9/14,2025,10吨以上-普货,成都,天府,营业货车,交强险,FALSE,主全,FALSE,续保,,,A,,0107B2B,2958.49,650.8002,1,0,0,0,0,2958.49,650.8002,38
2025/9/14,2025,10吨以上-普货,成都,天府,营业货车,交强险,FALSE,主全,FALSE,续保,,,B,,0106移动展业(App),24935.85,13145.9836,7,1,2000,1014.33,0,24935.85,10611.2368,38
2025/9/14,2025,10吨以上-普货,成都,天府,营业货车,交强险,FALSE,主全,FALSE,续保,,,C,,0101柜面,6762.26,2302.9604,2,0,0,338.11,0,6762.26,2187.8134,38
2025/9/14,2025,10吨以上-普货,成都,天府,营业货车,交强险,FALSE,主全,FALSE,续保,,,C,,0106移动展业(App),10566.03,3660.7675,3,0,0,528.3,0,10566.03,3477.7297,38
2025/9/14,2025,10吨以上-普货,成都,天府,营业货车,交强险,FALSE,主全,FALSE,转保,,,A,,0106移动展业(App),11411.31,6075.1764,3,0,0,570.57,0,11411.31,5771.4152,38
